date,time,open,high,low,close,tickvol,vol,spread
2024.01.01,22:00:00,1.10268,1.10315,1.10268,1.10311,27,0,282
2024.01.01,22:15:00,1.10312,1.10367,1.10303,1.10367,70,0,166
2024.01.01,22:30:00,1.10367,1.10374,1.10308,1.10362,140,0,140
2024.01.01,22:45:00,1.10355,1.10388,1.10338,1.10386,161,0,117
2024.01.01,23:00:00,1.10398,1.10398,1.10338,1.10341,202,0,88
2024.01.01,23:15:00,1.10341,1.10343,1.10326,1.10338,158,0,83
2024.01.01,23:30:00,1.10338,1.10344,1.10315,1.10328,198,0,81
2024.01.01,23:45:00,1.10328,1.10335,1.10304,1.10330,219,0,79
2024.01.02,00:00:00,1.10328,1.10343,1.10328,1.10334,180,0,77
2024.01.02,00:15:00,1.10334,1.10337,1.10305,1.10311,170,0,76
2024.01.02,00:30:00,1.10310,1.10322,1.10309,1.10320,127,0,77
2024.01.02,00:45:00,1.10320,1.10346,1.10320,1.10345,201,0,76
2024.01.02,01:00:00,1.10345,1.10403,1.10339,1.10360,393,0,60
2024.01.02,01:15:00,1.10360,1.10402,1.10352,1.10357,359,0,60
2024.01.02,01:30:00,1.10357,1.10361,1.10330,1.10343,305,0,77
2024.01.02,01:45:00,1.10346,1.10362,1.10305,1.10312,277,0,77
2024.01.02,02:00:00,1.10312,1.10323,1.10279,1.10282,249,0,77
2024.01.02,02:15:00,1.10282,1.10282,1.10225,1.10226,204,0,77
2024.01.02,02:30:00,1.10226,1.10232,1.10185,1.10226,274,0,25
2024.01.02,02:45:00,1.10226,1.10229,1.10171,1.10176,289,0,25
2024.01.02,03:00:00,1.10176,1.10223,1.10164,1.10211,215,0,25
2024.01.02,03:15:00,1.10211,1.10228,1.10194,1.10202,195,0,25
2024.01.02,03:30:00,1.10202,1.10219,1.10195,1.10218,184,0,25
2024.01.02,03:45:00,1.10218,1.10236,1.10218,1.10233,127,0,25
2024.01.02,04:00:00,1.10233,1.10237,1.10196,1.10207,141,0,25
2024.01.02,04:15:00,1.10207,1.10213,1.10181,1.10181,126,0,25
2024.01.02,04:30:00,1.10181,1.10192,1.10161,1.10164,186,0,25
2024.01.02,04:45:00,1.10163,1.10199,1.10153,1.10197,161,0,25
2024.01.02,05:00:00,1.10198,1.10240,1.10195,1.10238,247,0,25
2024.01.02,05:15:00,1.10239,1.10270,1.10234,1.10254,242,0,25
2024.01.02,05:30:00,1.10254,1.10292,1.10253,1.10287,214,0,25
2024.01.02,05:45:00,1.10288,1.10325,1.10280,1.10322,274,0,25
2024.01.02,06:00:00,1.10322,1.10330,1.10305,1.10309,234,0,25
2024.01.02,06:15:00,1.10309,1.10325,1.10288,1.10309,233,0,25
2024.01.02,06:30:00,1.10309,1.10336,1.10298,1.10325,265,0,25
2024.01.02,06:45:00,1.10324,1.10340,1.10256,1.10277,254,0,25
2024.01.02,07:00:00,1.10273,1.10299,1.10234,1.10274,450,0,25
2024.01.02,07:15:00,1.10269,1.10364,1.10265,1.10359,478,0,25
2024.01.02,07:30:00,1.10358,1.10367,1.10286,1.10289,446,0,25
2024.01.02,07:45:00,1.10288,1.10304,1.10140,1.10141,674,0,25
2024.01.02,08:00:00,1.10148,1.10376,1.10148,1.10312,727,0,25
2024.01.02,08:15:00,1.10309,1.10328,1.10264,1.10278,605,0,25
2024.01.02,08:30:00,1.10275,1.10316,1.10266,1.10281,547,0,25
