date,time,open,high,low,close,tickvol,vol,spread
2024.01.01,22:00:00,179.084,179.302,179.075,179.141,22,0,500
2024.01.01,22:15:00,179.139,179.139,179.064,179.105,55,0,500
2024.01.01,22:30:00,179.113,179.206,179.068,179.151,140,0,500
2024.01.01,22:45:00,179.151,179.169,179.131,179.134,147,0,500
2024.01.01,23:00:00,179.127,179.212,179.036,179.053,356,0,500
2024.01.01,23:15:00,179.049,179.192,179.032,179.191,466,0,500
2024.01.01,23:30:00,179.188,179.202,179.123,179.177,408,0,500
2024.01.01,23:45:00,179.175,179.388,179.166,179.378,450,0,500
2024.01.02,00:00:00,179.544,179.625,179.526,179.617,455,0,128
2024.01.02,00:15:00,179.622,179.804,179.603,179.732,488,0,127
2024.01.02,00:30:00,179.742,179.769,179.641,179.678,456,0,127
2024.01.02,00:45:00,179.682,179.719,179.544,179.554,479,0,126
2024.01.02,01:00:00,179.564,179.710,179.556,179.686,574,0,125
2024.01.02,01:15:00,179.684,179.818,179.664,179.807,516,0,125
2024.01.02,01:30:00,179.807,179.927,179.752,179.828,528,0,126
2024.01.02,01:45:00,179.828,179.908,179.828,179.861,454,0,126
2024.01.02,02:00:00,179.861,179.930,179.847,179.862,361,0,126
2024.01.02,02:15:00,179.861,179.861,179.804,179.819,414,0,126
2024.01.02,02:30:00,179.823,180.157,179.805,179.875,580,0,42
2024.01.02,02:45:00,179.876,179.983,179.855,179.917,597,0,42
2024.01.02,03:00:00,179.919,180.003,179.908,179.951,496,0,42
2024.01.02,03:15:00,179.945,180.088,179.930,180.083,489,0,41
2024.01.02,03:30:00,180.083,180.088,180.002,180.040,435,0,41
2024.01.02,03:45:00,180.040,180.076,179.947,179.956,391,0,41
2024.01.02,04:00:00,179.957,180.004,179.886,179.984,440,0,41
2024.01.02,04:15:00,179.979,180.003,179.938,179.939,344,0,41
2024.01.02,04:30:00,179.940,179.983,179.924,179.962,332,0,40
2024.01.02,04:45:00,179.961,179.969,179.917,179.936,355,0,41
2024.01.02,05:00:00,179.937,179.986,179.884,179.924,486,0,41
2024.01.02,05:15:00,179.924,179.998,179.906,179.975,415,0,40
2024.01.02,05:30:00,179.975,180.059,179.935,180.045,430,0,41
2024.01.02,05:45:00,180.044,180.105,180.003,180.020,513,0,41
2024.01.02,06:00:00,180.016,180.051,179.970,180.047,492,0,41
2024.01.02,06:15:00,180.042,180.057,179.953,180.033,460,0,41
2024.01.02,06:30:00,180.032,180.121,179.994,180.059,451,0,41
2024.01.02,06:45:00,180.054,180.198,180.021,180.155,496,0,41
2024.01.02,07:00:00,180.155,180.258,180.100,180.162,651,0,40
2024.01.02,07:15:00,180.161,180.272,180.124,180.171,631,0,40
2024.01.02,07:30:00,180.166,180.208,180.096,180.109,593,0,40
2024.01.02,07:45:00,180.109,180.255,180.106,180.202,726,0,40
2024.01.02,08:00:00,180.197,180.399,180.147,180.308,872,0,40
2024.01.02,08:15:00,180.303,180.312,180.109,180.267,760,0,40
2024.01.02,08:30:00,180.268,180.402,180.258,180.347,698,0,40
2024.01.02,08:45:00,180.350,180.556,180.344,180.463,714,0,40
2024.01.02,09:00:00,180.458,180.641,180.408,180.608,684,0,15
2024.01.02,09:15:00,180.606,180.613,180.346,180.371,812,0,15
2024.01.02,09:30:00,180.366,180.380,179.981,180.006,813,0,15
2024.01.02,09:45:00,180.007,180.064,179.926,180.015,802,0,15
2024.01.02,10:00:00,180.010,180.048,179.918,180.017,858,0,15
2024.01.02,10:15:00,180.016,180.179,179.987,180.021,879,0,15
2024.01.02,10:30:00,180.023,180.083,179.909,179.965,866,0,15
2024.01.02,10:45:00,179.964,179.984,179.797,179.826,775,0,15
2024.01.02,11:00:00,179.821,179.821,179.516,179.541,956,0,15
2024.01.02,11:15:00,179.539,179.728,179.517,179.593,901,0,15
2024.01.02,11:30:00,179.596,179.705,179.577,179.598,901,0,15
2024.01.02,11:45:00,179.593,179.597,179.479,179.580,836,0,15
2024.01.02,12:00:00,179.585,179.599,179.465,179.563,840,0,15
2024.01.02,12:15:00,179.559,179.859,179.559,179.835,946,0,15
2024.01.02,12:30:00,179.830,179.943,179.760,179.813,962,0,15
2024.01.02,12:45:00,179.811,179.863,179.651,179.682,935,0,15
2024.01.02,13:00:00,179.681,179.754,179.550,179.579,926,0,15
2024.01.02,13:15:00,179.575,179.618,179.387,179.442,888,0,15
2024.01.02,13:30:00,179.446,179.487,179.291,179.342,875,0,15
2024.01.02,13:45:00,179.340,179.544,179.313,179.525,954,0,15
2024.01.02,14:00:00,179.520,179.548,179.282,179.299,989,0,15
2024.01.02,14:15:00,179.295,179.312,179.076,179.179,1052,0,15
2024.01.02,14:30:00,179.184,179.321,179.157,179.275,1154,0,15
2024.01.02,14:45:00,179.271,179.297,178.741,178.751,1421,0,15
2024.01.02,15:00:00,178.747,178.910,178.732,178.819,1130,0,15
2024.01.02,15:15:00,178.818,178.983,178.779,178.938,954,0,15
2024.01.02,15:30:00,178.933,179.105,178.847,179.080,1058,0,15
2024.01.02,15:45:00,179.085,179.212,179.054,179.183,1051,0,15
2024.01.02,16:00:00,179.178,179.237,179.032,179.052,964,0,15
2024.01.02,16:15:00,179.048,179.123,178.933,178.979,841,0,15
2024.01.02,16:30:00,178.983,179.096,178.943,179.079,852,0,15
2024.01.02,16:45:00,179.073,179.243,179.052,179.202,725,0,15
2024.01.02,17:00:00,179.207,179.268,179.191,179.245,678,0,15
2024.01.02,17:15:00,179.247,179.298,179.204,179.265,755,0,15
2024.01.02,17:30:00,179.266,179.362,179.264,179.354,620,0,15
2024.01.02,17:45:00,179.353,179.379,179.309,179.350,667,0,15
2024.01.02,18:00:00,179.349,179.374,179.229,179.259,646,0,15
2024.01.02,18:15:00,179.258,179.262,179.200,179.222,596,0,15
2024.01.02,18:30:00,179.224,179.312,179.191,179.297,595,0,15
2024.01.02,18:45:00,179.297,179.317,179.220,179.225,640,0,15
2024.01.02,19:00:00,179.221,179.221,179.122,179.186,555,0,15
2024.01.02,19:15:00,179.185,179.224,179.166,179.181,493,0,15
2024.01.02,19:30:00,179.180,179.211,179.149,179.207,455,0,15
2024.01.02,19:45:00,179.206,179.238,179.135,179.137,603,0,15
2024.01.02,20:00:00,179.136,179.186,179.131,179.161,560,0,15
2024.01.02,20:15:00,179.162,179.172,179.052,179.056,564,0,15
2024.01.02,20:30:00,179.052,179.065,178.987,178.989,529,0,15
2024.01.02,20:45:00,178.989,179.124,178.962,179.119,568,0,15
2024.01.02,21:00:00,179.112,179.180,179.099,179.151,398,0,39
2024.01.02,21:15:00,179.148,179.186,179.123,179.151,275,0,39
2024.01.02,21:30:00,179.148,179.187,179.130,179.182,252,0,39
2024.01.02,21:45:00,179.181,179.200,179.147,179.147,230,0,16
2024.01.02,22:00:00,179.135,179.146,179.052,179.108,62,0,59
2024.01.02,22:15:00,179.116,179.126,179.032,179.126,174,0,59
2024.01.02,22:30:00,179.126,179.147,179.111,179.124,154,0,48
2024.01.02,22:45:00,179.124,179.152,179.112,179.145,241,0,38
2024.01.02,23:00:00,179.240,179.280,179.158,179.278,225,0,82
2024.01.02,23:15:00,179.279,179.344,179.268,179.344,319,0,81
2024.01.02,23:30:00,179.340,179.384,179.309,179.329,394,0,80
2024.01.02,23:45:00,179.326,179.427,179.322,179.427,396,0,79
2024.01.03,00:00:00,179.461,179.461,179.265,179.280,598,0,15
2024.01.03,00:15:00,179.279,179.313,179.171,179.229,575,0,15
2024.01.03,00:30:00,179.224,179.285,179.175,179.246,667,0,15
2024.01.03,00:45:00,179.247,179.312,179.243,179.301,598,0,15
2024.01.03,01:00:00,179.301,179.341,179.281,179.300,484,0,15
2024.01.03,01:15:00,179.295,179.468,179.274,179.370,683,0,15
2024.01.03,01:30:00,179.375,179.379,179.225,179.256,653,0,15
2024.01.03,01:45:00,179.255,179.364,179.225,179.346,493,0,15
2024.01.03,02:00:00,179.344,179.399,179.321,179.367,541,0,15
2024.01.03,02:15:00,179.369,179.375,179.301,179.350,551,0,15
2024.01.03,02:30:00,179.348,179.385,179.328,179.346,475,0,15
2024.01.03,02:45:00,179.347,179.378,179.327,179.374,465,0,15
2024.01.03,03:00:00,179.374,179.395,179.281,179.364,495,0,15
2024.01.03,03:15:00,179.362,179.374,179.309,179.334,418,0,15
2024.01.03,03:30:00,179.331,179.376,179.324,179.348,489,0,15
2024.01.03,03:45:00,179.348,179.377,179.321,179.351,541,0,15
2024.01.03,04:00:00,179.351,179.396,179.315,179.391,385,0,15
2024.01.03,04:15:00,179.391,179.394,179.341,179.371,404,0,15
2024.01.03,04:30:00,179.371,179.414,179.363,179.370,357,0,15
2024.01.03,04:45:00,179.368,179.398,179.342,179.381,383,0,15
2024.01.03,05:00:00,179.382,179.509,179.376,179.509,432,0,15
2024.01.03,05:15:00,179.511,179.511,179.452,179.456,388,0,15
2024.01.03,05:30:00,179.455,179.456,179.386,179.411,414,0,15
2024.01.03,05:45:00,179.410,179.530,179.401,179.506,521,0,15
2024.01.03,06:00:00,179.501,179.531,179.447,179.512,583,0,15
2024.01.03,06:15:00,179.513,179.556,179.463,179.530,535,0,15
2024.01.03,06:30:00,179.530,179.640,179.507,179.640,453,0,15
2024.01.03,06:45:00,179.644,179.701,179.642,179.649,479,0,15
2024.01.03,07:00:00,179.644,179.774,179.507,179.773,795,0,15
2024.01.03,07:15:00,179.770,179.867,179.690,179.841,1009,0,15
2024.01.03,07:30:00,179.841,180.000,179.820,179.913,1006,0,15
2024.01.03,07:45:00,179.917,180.119,179.907,180.065,805,0,15
2024.01.03,08:00:00,180.063,180.134,179.988,180.132,931,0,15
2024.01.03,08:15:00,180.136,180.305,180.112,180.294,1063,0,15
2024.01.03,08:30:00,180.300,180.335,180.196,180.252,915,0,15
2024.01.03,08:45:00,180.249,180.347,180.222,180.230,811,0,15
2024.01.03,09:00:00,180.234,180.334,180.205,180.215,820,0,15
2024.01.03,09:15:00,180.210,180.234,180.011,180.032,818,0,15
2024.01.03,09:30:00,180.033,180.240,179.992,180.231,735,0,15
2024.01.03,09:45:00,180.227,180.283,180.060,180.113,785,0,15
2024.01.03,10:00:00,180.112,180.178,180.061,180.159,657,0,15
2024.01.03,10:15:00,180.157,180.292,180.140,180.211,712,0,15
2024.01.03,10:30:00,180.213,180.256,180.071,180.077,669,0,15
2024.01.03,10:45:00,180.077,180.134,180.034,180.114,645,0,15
2024.01.03,11:00:00,180.111,180.271,180.039,180.215,764,0,15
2024.01.03,11:15:00,180.219,180.258,180.175,180.245,636,0,15
2024.01.03,11:30:00,180.243,180.389,180.237,180.362,856,0,15
2024.01.03,11:45:00,180.367,180.545,180.316,180.481,821,0,15
2024.01.03,12:00:00,180.477,180.560,180.427,180.436,798,0,15
2024.01.03,12:15:00,180.438,180.538,180.413,180.475,711,0,15
2024.01.03,12:30:00,180.477,180.506,180.409,180.444,652,0,15
2024.01.03,12:45:00,180.442,180.483,180.352,180.445,794,0,15
2024.01.03,13:00:00,180.448,180.610,180.439,180.486,842,0,15
