date,time,open,high,low,close,tickvol,vol,spread
2024.01.01,22:00:00,1.27402,1.27444,1.26765,1.27048,39,0,350
2024.01.01,22:15:00,1.27050,1.27096,1.27004,1.27062,77,0,350
2024.01.01,22:30:00,1.27024,1.27184,1.26938,1.27174,185,0,350
2024.01.01,22:45:00,1.27174,1.27269,1.27056,1.27061,164,0,350
2024.01.01,23:00:00,1.27216,1.27283,1.27209,1.27260,234,0,126
2024.01.01,23:15:00,1.27259,1.27260,1.27190,1.27250,272,0,117
2024.01.01,23:30:00,1.27250,1.27255,1.27206,1.27215,337,0,112
2024.01.01,23:45:00,1.27215,1.27232,1.27202,1.27222,294,0,109
2024.01.02,00:00:00,1.27225,1.27248,1.27214,1.27227,294,0,103
2024.01.02,00:15:00,1.27227,1.27247,1.27164,1.27180,275,0,103
2024.01.02,00:30:00,1.27179,1.27195,1.27166,1.27174,334,0,103
2024.01.02,00:45:00,1.27172,1.27218,1.27170,1.27207,349,0,103
2024.01.02,01:00:00,1.27207,1.27300,1.27194,1.27211,590,0,60
2024.01.02,01:15:00,1.27211,1.27268,1.27202,1.27212,533,0,60
2024.01.02,01:30:00,1.27212,1.27214,1.27168,1.27195,445,0,103
2024.01.02,01:45:00,1.27198,1.27216,1.27151,1.27156,397,0,103
2024.01.02,02:00:00,1.27156,1.27205,1.27154,1.27195,343,0,103
2024.01.02,02:15:00,1.27195,1.27196,1.27159,1.27160,341,0,102
2024.01.02,02:30:00,1.27162,1.27179,1.27075,1.27091,382,0,103
2024.01.02,02:45:00,1.27095,1.27102,1.27048,1.27057,420,0,103
2024.01.02,03:00:00,1.27057,1.27119,1.27047,1.27104,344,0,103
2024.01.02,03:15:00,1.27106,1.27118,1.27077,1.27087,354,0,103
2024.01.02,03:30:00,1.27087,1.27110,1.27087,1.27108,273,0,102
2024.01.02,03:45:00,1.27109,1.27150,1.27083,1.27136,299,0,103
2024.01.02,04:00:00,1.27137,1.27140,1.27096,1.27107,226,0,103
2024.01.02,04:15:00,1.27111,1.27112,1.27075,1.27079,234,0,103
2024.01.02,04:30:00,1.27083,1.27111,1.27076,1.27078,197,0,103
2024.01.02,04:45:00,1.27078,1.27093,1.27059,1.27093,261,0,103
2024.01.02,05:00:00,1.27091,1.27159,1.27090,1.27157,401,0,103
2024.01.02,05:15:00,1.27157,1.27200,1.27150,1.27189,371,0,103
2024.01.02,05:30:00,1.27189,1.27252,1.27184,1.27244,356,0,103
2024.01.02,05:45:00,1.27248,1.27359,1.27239,1.27318,353,0,103
2024.01.02,06:00:00,1.27319,1.27321,1.27266,1.27289,347,0,103
