trade_id,time,type,entry_price,exit_price,sl,tp,lot,pnl,reason
1,2023-01-03 01:50:00,ENTRY,1829.738,,1823.738,1835.738,0.5,,ENTRY_SIGNAL
1,2023-01-03 02:40:00,EXIT,1829.738,1835.738,1823.738,1835.738,0.5,30.0,TP_HIT
2,2023-01-03 06:30:00,ENTRY,1840.439,,1846.439,1834.439,0.5,,ENTRY_SIGNAL
2,2023-01-03 07:25:00,EXIT,1840.439,1846.439,1846.439,1834.439,0.5,-30.0,SL_HIT
3,2023-01-03 15:10:00,ENTRY,1839.051,,1845.051,1833.051,0.5,,ENTRY_SIGNAL
3,2023-01-03 15:25:00,EXIT,1839.051,1833.051,1845.051,1833.051,0.5,30.0,TP_HIT
4,2023-01-05 02:00:00,ENTRY,1856.022,,1862.022,1850.022,0.5,,ENTRY_SIGNAL
4,2023-01-05 07:50:00,EXIT,1856.022,1850.022,1862.022,1850.022,0.5,30.0,TP_HIT
5,2023-01-05 13:00:00,ENTRY,1847.135,,1841.135,1853.135,0.5,,ENTRY_SIGNAL
5,2023-01-05 13:35:00,EXIT,1847.135,1841.135,1841.135,1853.135,0.5,-30.0,SL_HIT
6,2023-01-05 17:05:00,ENTRY,1832.402,,1826.402,1838.402,0.5,,ENTRY_SIGNAL
7,2023-01-05 20:55:00,ENTRY,1832.967,,1838.967,1826.967,0.5,,ENTRY_SIGNAL
6,2023-01-06 02:10:00,EXIT,1832.402,1838.402,1826.402,1838.402,0.5,30.0,TP_HIT
7,2023-01-06 02:15:00,EXIT,1832.967,1838.967,1838.967,1826.967,0.5,-30.0,SL_HIT
8,2023-01-06 07:15:00,ENTRY,1838.187,,1844.187,1832.187,0.5,,ENTRY_SIGNAL
9,2023-01-06 13:30:00,ENTRY,1839.923,,1833.923,1845.923,0.5,,ENTRY_SIGNAL
8,2023-01-06 13:40:00,EXIT,1838.187,1844.187,1844.187,1832.187,0.5,-30.0,SL_HIT
9,2023-01-06 13:40:00,EXIT,1839.923,1845.923,1833.923,1845.923,0.5,30.0,TP_HIT
10,2023-01-09 07:00:00,ENTRY,1877.079,,1883.079,1871.079,0.5,,ENTRY_SIGNAL
11,2023-01-09 07:05:00,ENTRY,1879.598,,1873.598,1885.598,0.5,,ENTRY_SIGNAL
11,2023-01-09 08:15:00,EXIT,1879.598,1873.598,1873.598,1885.598,0.5,-30.0,SL_HIT
10,2023-01-09 11:35:00,EXIT,1877.079,1871.079,1883.079,1871.079,0.5,30.0,TP_HIT
12,2023-01-09 13:10:00,ENTRY,1874.522,,1868.522,1880.522,0.5,,ENTRY_SIGNAL
12,2023-01-09 14:45:00,EXIT,1874.522,1880.522,1868.522,1880.522,0.5,30.0,TP_HIT
13,2023-01-09 16:40:00,ENTRY,1876.558,,1870.558,1882.558,0.5,,ENTRY_SIGNAL
13,2023-01-09 17:15:00,EXIT,1876.558,1870.558,1870.558,1882.558,0.5,-30.0,SL_HIT
14,2023-01-09 20:00:00,ENTRY,1872.701,,1878.701,1866.701,0.5,,ENTRY_SIGNAL
15,2023-01-10 06:20:00,ENTRY,1873.131,,1879.131,1867.131,0.5,,ENTRY_SIGNAL
14,2023-01-10 14:30:00,EXIT,1872.701,1878.701,1878.701,1866.701,0.5,-30.0,SL_HIT
15,2023-01-10 14:30:00,EXIT,1873.131,1879.131,1879.131,1867.131,0.5,-30.0,SL_HIT
16,2023-01-10 15:30:00,ENTRY,1876.341,,1882.341,1870.341,0.5,,ENTRY_SIGNAL
17,2023-01-10 16:25:00,ENTRY,1875.373,,1881.373,1869.373,0.5,,ENTRY_SIGNAL
16,2023-01-11 05:35:00,EXIT,1876.341,1882.341,1882.341,1870.341,0.5,-30.0,SL_HIT
17,2023-01-11 05:35:00,EXIT,1875.373,1881.373,1881.373,1869.373,0.5,-30.0,SL_HIT
18,2023-01-11 14:25:00,ENTRY,1878.612,,1872.612,1884.612,0.5,,ENTRY_SIGNAL
18,2023-01-11 14:45:00,EXIT,1878.612,1872.612,1872.612,1884.612,0.5,-30.0,SL_HIT
19,2023-01-11 20:15:00,ENTRY,1877.529,,1871.529,1883.529,0.5,,ENTRY_SIGNAL
20,2023-01-11 23:00:00,ENTRY,1877.046,,1871.046,1883.046,0.5,,ENTRY_SIGNAL
19,2023-01-12 02:30:00,EXIT,1877.529,1883.529,1871.529,1883.529,0.5,30.0,TP_HIT
20,2023-01-12 02:30:00,EXIT,1877.046,1883.046,1871.046,1883.046,0.5,30.0,TP_HIT
21,2023-01-12 08:50:00,ENTRY,1881.767,,1887.767,1875.767,0.5,,ENTRY_SIGNAL
22,2023-01-12 10:10:00,ENTRY,1883.196,,1889.196,1877.196,0.5,,ENTRY_SIGNAL
21,2023-01-12 12:20:00,EXIT,1881.767,1887.767,1887.767,1875.767,0.5,-30.0,SL_HIT
22,2023-01-12 12:20:00,EXIT,1883.196,1889.196,1889.196,1877.196,0.5,-30.0,SL_HIT
23,2023-01-12 14:40:00,ENTRY,1885.194,,1891.194,1879.194,0.5,,ENTRY_SIGNAL
23,2023-01-12 16:10:00,EXIT,1885.194,1891.194,1891.194,1879.194,0.5,-30.0,SL_HIT
24,2023-01-13 21:10:00,ENTRY,1919.153,,1925.153,1913.153,0.5,,ENTRY_SIGNAL
25,2023-01-16 01:35:00,ENTRY,1919.296,,1925.296,1913.296,0.5,,ENTRY_SIGNAL
24,2023-01-16 02:25:00,EXIT,1919.153,1925.153,1925.153,1913.153,0.5,-30.0,SL_HIT
25,2023-01-16 02:25:00,EXIT,1919.296,1925.296,1925.296,1913.296,0.5,-30.0,SL_HIT
26,2023-01-16 10:55:00,ENTRY,1915.579,,1921.579,1909.579,0.5,,ENTRY_SIGNAL
27,2023-01-16 14:10:00,ENTRY,1913.335,,1919.335,1907.335,0.5,,ENTRY_SIGNAL
26,2023-01-17 02:30:00,EXIT,1915.579,1909.579,1921.579,1909.579,0.5,30.0,TP_HIT
27,2023-01-17 06:50:00,EXIT,1913.335,1907.335,1919.335,1907.335,0.5,30.0,TP_HIT
28,2023-01-18 00:00:00,ENTRY,1908.043,,1914.043,1902.043,0.5,,ENTRY_SIGNAL
29,2023-01-18 00:40:00,ENTRY,1907.915,,1913.915,1901.915,0.5,,ENTRY_SIGNAL
28,2023-01-18 02:40:00,EXIT,1908.043,1902.043,1914.043,1902.043,0.5,30.0,TP_HIT
