trade_id,time,type,entry_price,exit_price,sl,tp,lot,pnl,reason
1,2025-08-01 05:09:00,ENTRY,3294.127,,3288.127,3300.127,0.5,,ENTRY_SIGNAL
1,2025-08-01 05:52:00,EXIT,3294.127,3300.127,3288.127,3300.127,0.5,30.0,TP_HIT
2,2025-08-01 06:50:00,ENTRY,3291.92,,3285.92,3297.92,0.5,,ENTRY_SIGNAL
3,2025-08-01 07:00:00,ENTRY,3291.527,,3297.527,3285.527,0.5,,ENTRY_SIGNAL
2,2025-08-01 07:40:00,EXIT,3291.92,3285.92,3285.92,3297.92,0.5,-30.0,SL_HIT
3,2025-08-01 07:51:00,EXIT,3291.527,3285.527,3297.527,3285.527,0.5,30.0,TP_HIT
4,2025-08-01 07:53:00,ENTRY,3286.122,,3292.122,3280.122,0.5,,ENTRY_SIGNAL
4,2025-08-01 08:51:00,EXIT,3286.122,3292.122,3292.122,3280.122,0.5,-30.0,SL_HIT
5,2025-08-01 14:51:00,ENTRY,3341.837,,3347.837,3335.837,0.5,,ENTRY_SIGNAL
5,2025-08-01 15:08:00,EXIT,3341.837,3347.837,3347.837,3335.837,0.5,-30.0,SL_HIT
6,2025-08-01 15:56:00,ENTRY,3348.953,,3354.953,3342.953,0.5,,ENTRY_SIGNAL
6,2025-08-01 16:20:00,EXIT,3348.953,3342.953,3354.953,3342.953,0.5,30.0,TP_HIT
7,2025-08-01 20:55:00,ENTRY,3362.242,,3368.242,3356.242,0.5,,ENTRY_SIGNAL
8,2025-08-03 22:05:00,ENTRY,3361.971,,3367.971,3355.971,0.5,,ENTRY_SIGNAL
7,2025-08-03 23:20:00,EXIT,3362.242,3356.242,3368.242,3356.242,0.5,30.0,TP_HIT
8,2025-08-03 23:20:00,EXIT,3361.971,3355.971,3367.971,3355.971,0.5,30.0,TP_HIT
9,2025-08-04 01:01:00,ENTRY,3352.62,,3346.62,3358.62,0.5,,ENTRY_SIGNAL
9,2025-08-04 01:24:00,EXIT,3352.62,3346.62,3346.62,3358.62,0.5,-30.0,SL_HIT
10,2025-08-04 07:51:00,ENTRY,3355.533,,3349.533,3361.533,0.5,,ENTRY_SIGNAL
11,2025-08-04 08:07:00,ENTRY,3356.048,,3350.048,3362.048,0.5,,ENTRY_SIGNAL
10,2025-08-04 09:26:00,EXIT,3355.533,3361.533,3349.533,3361.533,0.5,30.0,TP_HIT
12,2025-08-04 09:51:00,ENTRY,3359.397,,3353.397,3365.397,0.5,,ENTRY_SIGNAL
12,2025-08-04 10:24:00,EXIT,3359.397,3353.397,3353.397,3365.397,0.5,-30.0,SL_HIT
11,2025-08-04 11:06:00,EXIT,3356.048,3362.048,3350.048,3362.048,0.5,30.0,TP_HIT
13,2025-08-04 12:06:00,ENTRY,3369.74,,3375.74,3363.74,0.5,,ENTRY_SIGNAL
14,2025-08-04 12:10:00,ENTRY,3368.784,,3374.784,3362.784,0.5,,ENTRY_SIGNAL
13,2025-08-04 12:29:00,EXIT,3369.74,3363.74,3375.74,3363.74,0.5,30.0,TP_HIT
14,2025-08-04 12:30:00,EXIT,3368.784,3362.784,3374.784,3362.784,0.5,30.0,TP_HIT
15,2025-08-04 17:01:00,ENTRY,3372.134,,3366.134,3378.134,0.5,,ENTRY_SIGNAL
16,2025-08-04 19:03:00,ENTRY,3376.568,,3370.568,3382.568,0.5,,ENTRY_SIGNAL
15,2025-08-04 23:10:00,EXIT,3372.134,3378.134,3366.134,3378.134,0.5,30.0,TP_HIT
17,2025-08-05 00:10:00,ENTRY,3376.467,,3382.467,3370.467,0.5,,ENTRY_SIGNAL
16,2025-08-05 05:02:00,EXIT,3376.568,3370.568,3370.568,3382.568,0.5,-30.0,SL_HIT
17,2025-08-05 05:02:00,EXIT,3376.467,3370.467,3382.467,3370.467,0.5,30.0,TP_HIT
18,2025-08-05 13:54:00,ENTRY,3373.157,,3379.157,3367.157,0.5,,ENTRY_SIGNAL
18,2025-08-05 14:00:00,EXIT,3373.157,3379.157,3379.157,3367.157,0.5,-30.0,SL_HIT
19,2025-08-05 15:01:00,ENTRY,3386.041,,3380.041,3392.041,0.5,,ENTRY_SIGNAL
20,2025-08-05 16:01:00,ENTRY,3390.145,,3384.145,3396.145,0.5,,ENTRY_SIGNAL
20,2025-08-05 16:16:00,EXIT,3390.145,3384.145,3384.145,3396.145,0.5,-30.0,SL_HIT
19,2025-08-05 16:30:00,EXIT,3386.041,3380.041,3380.041,3392.041,0.5,-30.0,SL_HIT
21,2025-08-05 18:54:00,ENTRY,3380.052,,3374.052,3386.052,0.5,,ENTRY_SIGNAL
22,2025-08-05 19:59:00,ENTRY,3379.003,,3385.003,3373.003,0.5,,ENTRY_SIGNAL
22,2025-08-06 00:28:00,EXIT,3379.003,3385.003,3385.003,3373.003,0.5,-30.0,SL_HIT
21,2025-08-06 01:56:00,EXIT,3380.052,3374.052,3374.052,3386.052,0.5,-30.0,SL_HIT
23,2025-08-06 08:56:00,ENTRY,3366.479,,3360.479,3372.479,0.5,,ENTRY_SIGNAL
23,2025-08-06 09:50:00,EXIT,3366.479,3360.479,3360.479,3372.479,0.5,-30.0,SL_HIT
24,2025-08-06 10:07:00,ENTRY,3360.105,,3354.105,3366.105,0.5,,ENTRY_SIGNAL
24,2025-08-06 11:25:00,EXIT,3360.105,3366.105,3354.105,3366.105,0.5,30.0,TP_HIT
25,2025-08-06 17:09:00,ENTRY,3376.826,,3370.826,3382.826,0.5,,ENTRY_SIGNAL
25,2025-08-06 18:13:00,EXIT,3376.826,3370.826,3370.826,3382.826,0.5,-30.0,SL_HIT
26,2025-08-06 20:05:00,ENTRY,3370.739,,3376.739,3364.739,0.5,,ENTRY_SIGNAL
27,2025-08-06 22:57:00,ENTRY,3372.24,,3366.24,3378.24,0.5,,ENTRY_SIGNAL
27,2025-08-07 00:02:00,EXIT,3372.24,3366.24,3366.24,3378.24,0.5,-30.0,SL_HIT
26,2025-08-07 01:15:00,EXIT,3370.739,3376.739,3376.739,3364.739,0.5,-30.0,SL_HIT
28,2025-08-07 04:00:00,ENTRY,3378.812,,3384.812,3372.812,0.5,,ENTRY_SIGNAL
29,2025-08-07 04:55:00,ENTRY,3379.099,,3373.099,3385.099,0.5,,ENTRY_SIGNAL
28,2025-08-07 05:41:00,EXIT,3378.812,3372.812,3384.812,3372.812,0.5,30.0,TP_HIT
29,2025-08-07 05:41:00,EXIT,3379.099,3373.099,3373.099,3385.099,0.5,-30.0,SL_HIT
30,2025-08-07 12:57:00,ENTRY,3381.813,,3375.813,3387.813,0.5,,ENTRY_SIGNAL
30,2025-08-07 13:31:00,EXIT,3381.813,3387.813,3375.813,3387.813,0.5,30.0,TP_HIT
31,2025-08-07 14:08:00,ENTRY,3375.746,,3381.746,3369.746,0.5,,ENTRY_SIGNAL
31,2025-08-07 14:09:00,EXIT,3375.746,3381.746,3381.746,3369.746,0.5,-30.0,SL_HIT
32,2025-08-07 18:00:00,ENTRY,3392.748,,3386.748,3398.748,0.5,,ENTRY_SIGNAL
33,2025-08-07 18:01:00,ENTRY,3392.674,,3398.674,3386.674,0.5,,ENTRY_SIGNAL
32,2025-08-07 19:38:00,EXIT,3392.748,3398.748,3386.748,3398.748,0.5,30.0,TP_HIT
33,2025-08-07 19:38:00,EXIT,3392.674,3398.674,3398.674,3386.674,0.5,-30.0,SL_HIT
34,2025-08-07 19:56:00,ENTRY,3399.479,,3405.479,3393.479,0.5,,ENTRY_SIGNAL
35,2025-08-07 20:04:00,ENTRY,3399.29,,3405.29,3393.29,0.5,,ENTRY_SIGNAL
34,2025-08-07 20:53:00,EXIT,3399.479,3393.479,3405.479,3393.479,0.5,30.0,TP_HIT
35,2025-08-07 20:53:00,EXIT,3399.29,3393.29,3405.29,3393.29,0.5,30.0,TP_HIT
36,2025-08-08 00:01:00,ENTRY,3398.543,,3404.543,3392.543,0.5,,ENTRY_SIGNAL
36,2025-08-08 00:21:00,EXIT,3398.543,3392.543,3404.543,3392.543,0.5,30.0,TP_HIT
37,2025-08-08 05:50:00,ENTRY,3393.979,,3387.979,3399.979,0.5,,ENTRY_SIGNAL
37,2025-08-08 07:06:00,EXIT,3393.979,3399.979,3387.979,3399.979,0.5,30.0,TP_HIT
38,2025-08-08 08:10:00,ENTRY,3401.099,,3407.099,3395.099,0.5,,ENTRY_SIGNAL
38,2025-08-08 08:52:00,EXIT,3401.099,3395.099,3407.099,3395.099,0.5,30.0,TP_HIT
39,2025-08-08 08:57:00,ENTRY,3395.427,,3401.427,3389.427,0.5,,ENTRY_SIGNAL
39,2025-08-08 09:41:00,EXIT,3395.427,3401.427,3401.427,3389.427,0.5,-30.0,SL_HIT
40,2025-08-10 22:06:00,ENTRY,3396.996,,3402.996,3390.996,0.5,,ENTRY_SIGNAL
40,2025-08-10 22:12:00,EXIT,3396.996,3390.996,3402.996,3390.996,0.5,30.0,TP_HIT
41,2025-08-11 04:02:00,ENTRY,3377.907,,3371.907,3383.907,0.5,,ENTRY_SIGNAL
41,2025-08-11 06:14:00,EXIT,3377.907,3371.907,3371.907,3383.907,0.5,-30.0,SL_HIT
42,2025-08-11 08:09:00,ENTRY,3361.726,,3355.726,3367.726,0.5,,ENTRY_SIGNAL
42,2025-08-11 09:15:00,EXIT,3361.726,3355.726,3355.726,3367.726,0.5,-30.0,SL_HIT
43,2025-08-11 14:58:00,ENTRY,3345.271,,3351.271,3339.271,0.5,,ENTRY_SIGNAL
43,2025-08-11 15:34:00,EXIT,3345.271,3351.271,3351.271,3339.271,0.5,-30.0,SL_HIT
44,2025-08-11 16:02:00,ENTRY,3347.927,,3353.927,3341.927,0.5,,ENTRY_SIGNAL
44,2025-08-11 17:32:00,EXIT,3347.927,3341.927,3353.927,3341.927,0.5,30.0,TP_HIT
45,2025-08-11 18:09:00,ENTRY,3356.2,,3362.2,3350.2,0.5,,ENTRY_SIGNAL
46,2025-08-11 20:10:00,ENTRY,3351.433,,3345.433,3357.433,0.5,,ENTRY_SIGNAL
45,2025-08-11 20:14:00,EXIT,3356.2,3350.2,3362.2,3350.2,0.5,30.0,TP_HIT
46,2025-08-11 20:45:00,EXIT,3351.433,3345.433,3345.433,3357.433,0.5,-30.0,SL_HIT
47,2025-08-12 00:01:00,ENTRY,3349.571,,3343.571,3355.571,0.5,,ENTRY_SIGNAL
48,2025-08-12 00:02:00,ENTRY,3348.615,,3354.615,3342.615,0.5,,ENTRY_SIGNAL
48,2025-08-12 00:41:00,EXIT,3348.615,3354.615,3354.615,3342.615,0.5,-30.0,SL_HIT
47,2025-08-12 00:53:00,EXIT,3349.571,3355.571,3343.571,3355.571,0.5,30.0,TP_HIT
49,2025-08-12 03:00:00,ENTRY,3353.35,,3347.35,3359.35,0.5,,ENTRY_SIGNAL
49,2025-08-12 06:14:00,EXIT,3353.35,3347.35,3347.35,3359.35,0.5,-30.0,SL_HIT
50,2025-08-12 08:53:00,ENTRY,3346.996,,3340.996,3352.996,0.5,,ENTRY_SIGNAL
51,2025-08-12 10:55:00,ENTRY,3345.02,,3351.02,3339.02,0.5,,ENTRY_SIGNAL
