trade_id,time,type,entry_price,exit_price,sl,tp,lot,pnl,reason
1,2025-08-04 00:00:00,ENTRY,3357.579,,3360.579,3351.579,0.5,,ENTRY_SIGNAL
1,2025-08-04 00:55:00,EXIT,3357.579,3351.579,3360.579,3351.579,0.5,30.0,TP_HIT
2,2025-08-04 09:40:00,ENTRY,3359.266,,3356.266,3365.266,0.5,,ENTRY_SIGNAL
2,2025-08-04 10:20:00,EXIT,3359.266,3356.266,3356.266,3365.266,0.5,-15.0,SL_HIT
3,2025-08-04 23:00:00,ENTRY,3376.937,,3373.937,3382.937,0.5,,ENTRY_SIGNAL
4,2025-08-05 01:55:00,ENTRY,3379.085,,3382.085,3373.085,0.5,,ENTRY_SIGNAL
3,2025-08-05 02:50:00,EXIT,3376.937,3373.937,3373.937,3382.937,0.5,-15.0,SL_HIT
4,2025-08-05 03:15:00,EXIT,3379.085,3373.085,3382.085,3373.085,0.5,30.0,TP_HIT
5,2025-08-05 07:05:00,ENTRY,3369.365,,3366.365,3375.365,0.5,,ENTRY_SIGNAL
5,2025-08-05 07:35:00,EXIT,3369.365,3375.365,3366.365,3375.365,0.5,30.0,TP_HIT
6,2025-08-06 01:00:00,ENTRY,3381.441,,3384.441,3375.441,0.5,,ENTRY_SIGNAL
6,2025-08-06 01:50:00,EXIT,3381.441,3375.441,3384.441,3375.441,0.5,30.0,TP_HIT
7,2025-08-06 03:15:00,ENTRY,3377.424,,3374.424,3383.424,0.5,,ENTRY_SIGNAL
8,2025-08-06 03:30:00,ENTRY,3375.249,,3378.249,3369.249,0.5,,ENTRY_SIGNAL
7,2025-08-06 03:35:00,EXIT,3377.424,3374.424,3374.424,3383.424,0.5,-15.0,SL_HIT
8,2025-08-06 06:30:00,EXIT,3375.249,3378.249,3378.249,3369.249,0.5,-15.0,SL_HIT
9,2025-08-07 00:00:00,ENTRY,3367.379,,3370.379,3361.379,0.5,,ENTRY_SIGNAL
9,2025-08-07 00:10:00,EXIT,3367.379,3370.379,3370.379,3361.379,0.5,-15.0,SL_HIT
10,2025-08-07 00:25:00,ENTRY,3372.286,,3369.286,3378.286,0.5,,ENTRY_SIGNAL
10,2025-08-07 01:25:00,EXIT,3372.286,3378.286,3369.286,3378.286,0.5,30.0,TP_HIT
11,2025-08-07 03:00:00,ENTRY,3377.978,,3380.978,3371.978,0.5,,ENTRY_SIGNAL
11,2025-08-07 05:05:00,EXIT,3377.978,3380.978,3380.978,3371.978,0.5,-15.0,SL_HIT
12,2025-08-07 11:35:00,ENTRY,3377.216,,3380.216,3371.216,0.5,,ENTRY_SIGNAL
12,2025-08-07 12:00:00,EXIT,3377.216,3380.216,3380.216,3371.216,0.5,-15.0,SL_HIT
13,2025-08-07 12:05:00,ENTRY,3376.462,,3379.462,3370.462,0.5,,ENTRY_SIGNAL
13,2025-08-07 12:20:00,EXIT,3376.462,3379.462,3379.462,3370.462,0.5,-15.0,SL_HIT
14,2025-08-07 14:10:00,ENTRY,3390.198,,3387.198,3396.198,0.5,,ENTRY_SIGNAL
14,2025-08-07 14:15:00,EXIT,3390.198,3387.198,3387.198,3396.198,0.5,-15.0,SL_HIT
15,2025-08-08 07:40:00,ENTRY,3398.714,,3395.714,3404.714,0.5,,ENTRY_SIGNAL
15,2025-08-08 08:50:00,EXIT,3398.714,3395.714,3395.714,3404.714,0.5,-15.0,SL_HIT
16,2025-08-08 10:05:00,ENTRY,3399.187,,3402.187,3393.187,0.5,,ENTRY_SIGNAL
16,2025-08-08 10:15:00,EXIT,3399.187,3393.187,3402.187,3393.187,0.5,30.0,TP_HIT
17,2025-08-08 17:55:00,ENTRY,3379.838,,3382.838,3373.838,0.5,,ENTRY_SIGNAL
17,2025-08-08 18:00:00,EXIT,3379.838,3382.838,3382.838,3373.838,0.5,-15.0,SL_HIT
18,2025-08-08 18:00:00,ENTRY,3398.281,,3395.281,3404.281,0.5,,ENTRY_SIGNAL
18,2025-08-08 18:05:00,EXIT,3398.281,3395.281,3395.281,3404.281,0.5,-15.0,SL_HIT
19,2025-08-08 18:50:00,ENTRY,3398.631,,3395.631,3404.631,0.5,,ENTRY_SIGNAL
19,2025-08-08 18:55:00,EXIT,3398.631,3395.631,3395.631,3404.631,0.5,-15.0,SL_HIT
20,2025-08-08 20:10:00,ENTRY,3395.007,,3398.007,3389.007,0.5,,ENTRY_SIGNAL
20,2025-08-08 20:40:00,EXIT,3395.007,3398.007,3398.007,3389.007,0.5,-15.0,SL_HIT
21,2025-08-11 03:30:00,ENTRY,3375.59,,3378.59,3369.59,0.5,,ENTRY_SIGNAL
21,2025-08-11 03:55:00,EXIT,3375.59,3378.59,3378.59,3369.59,0.5,-15.0,SL_HIT
