trade_id,time,type,entry_price,exit_price,sl,tp,lot,pnl,reason
1,2025-01-01 23:52:00,ENTRY,2623.967,,2617.967,2629.967,0.5,,ENTRY_SIGNAL
2,2025-01-01 23:56:00,ENTRY,2624.31,,2618.31,2630.31,0.5,,ENTRY_SIGNAL
1,2025-01-02 01:06:00,EXIT,2623.967,2629.967,2617.967,2629.967,0.5,30.0,TP_HIT
2,2025-01-02 01:06:00,EXIT,2624.31,2630.31,2618.31,2630.31,0.5,30.0,TP_HIT
3,2025-01-02 02:00:00,ENTRY,2634.19,,2628.19,2640.19,0.5,,ENTRY_SIGNAL
4,2025-01-02 02:42:00,ENTRY,2633.401,,2639.401,2627.401,0.5,,ENTRY_SIGNAL
4,2025-01-02 09:02:00,EXIT,2633.401,2639.401,2639.401,2627.401,0.5,-30.0,SL_HIT
5,2025-01-02 09:27:00,ENTRY,2639.109,,2633.109,2645.109,0.5,,ENTRY_SIGNAL
5,2025-01-02 10:08:00,EXIT,2639.109,2633.109,2633.109,2645.109,0.5,-30.0,SL_HIT
3,2025-01-02 10:18:00,EXIT,2634.19,2640.19,2628.19,2640.19,0.5,30.0,TP_HIT
6,2025-01-02 10:42:00,ENTRY,2645.126,,2639.126,2651.126,0.5,,ENTRY_SIGNAL
7,2025-01-02 11:05:00,ENTRY,2644.263,,2638.263,2650.263,0.5,,ENTRY_SIGNAL
6,2025-01-02 13:13:00,EXIT,2645.126,2639.126,2639.126,2651.126,0.5,-30.0,SL_HIT
7,2025-01-02 13:17:00,EXIT,2644.263,2638.263,2638.263,2650.263,0.5,-30.0,SL_HIT
8,2025-01-02 13:48:00,ENTRY,2641.775,,2635.775,2647.775,0.5,,ENTRY_SIGNAL
9,2025-01-02 14:10:00,ENTRY,2642.825,,2636.825,2648.825,0.5,,ENTRY_SIGNAL
8,2025-01-02 14:15:00,EXIT,2641.775,2647.775,2635.775,2647.775,0.5,30.0,TP_HIT
9,2025-01-02 14:15:00,EXIT,2642.825,2648.825,2636.825,2648.825,0.5,30.0,TP_HIT
10,2025-01-02 14:30:00,ENTRY,2649.023,,2643.023,2655.023,0.5,,ENTRY_SIGNAL
11,2025-01-02 14:41:00,ENTRY,2649.307,,2643.307,2655.307,0.5,,ENTRY_SIGNAL
10,2025-01-02 15:52:00,EXIT,2649.023,2655.023,2643.023,2655.023,0.5,30.0,TP_HIT
11,2025-01-02 15:52:00,EXIT,2649.307,2655.307,2643.307,2655.307,0.5,30.0,TP_HIT
12,2025-01-02 16:09:00,ENTRY,2652.709,,2646.709,2658.709,0.5,,ENTRY_SIGNAL
13,2025-01-02 16:11:00,ENTRY,2653.702,,2647.702,2659.702,0.5,,ENTRY_SIGNAL
12,2025-01-02 16:46:00,EXIT,2652.709,2658.709,2646.709,2658.709,0.5,30.0,TP_HIT
13,2025-01-02 16:48:00,EXIT,2653.702,2659.702,2647.702,2659.702,0.5,30.0,TP_HIT
14,2025-01-02 17:03:00,ENTRY,2660.264,,2654.264,2666.264,0.5,,ENTRY_SIGNAL
15,2025-01-02 17:16:00,ENTRY,2657.122,,2663.122,2651.122,0.5,,ENTRY_SIGNAL
14,2025-01-02 17:31:00,EXIT,2660.264,2654.264,2654.264,2666.264,0.5,-30.0,SL_HIT
16,2025-01-02 18:27:00,ENTRY,2656.788,,2650.788,2662.788,0.5,,ENTRY_SIGNAL
15,2025-01-03 02:18:00,EXIT,2657.122,2663.122,2663.122,2651.122,0.5,-30.0,SL_HIT
16,2025-01-03 02:18:00,EXIT,2656.788,2662.788,2650.788,2662.788,0.5,30.0,TP_HIT
17,2025-01-03 02:27:00,ENTRY,2659.469,,2665.469,2653.469,0.5,,ENTRY_SIGNAL
18,2025-01-03 02:55:00,ENTRY,2661.559,,2667.559,2655.559,0.5,,ENTRY_SIGNAL
18,2025-01-03 07:16:00,EXIT,2661.559,2655.559,2667.559,2655.559,0.5,30.0,TP_HIT
17,2025-01-03 07:22:00,EXIT,2659.469,2653.469,2665.469,2653.469,0.5,30.0,TP_HIT
19,2025-01-03 07:54:00,ENTRY,2654.561,,2660.561,2648.561,0.5,,ENTRY_SIGNAL
20,2025-01-03 08:17:00,ENTRY,2652.992,,2658.992,2646.992,0.5,,ENTRY_SIGNAL
20,2025-01-03 11:16:00,EXIT,2652.992,2658.992,2658.992,2646.992,0.5,-30.0,SL_HIT
21,2025-01-03 11:18:00,ENTRY,2657.677,,2663.677,2651.677,0.5,,ENTRY_SIGNAL
21,2025-01-03 13:20:00,EXIT,2657.677,2651.677,2663.677,2651.677,0.5,30.0,TP_HIT
19,2025-01-03 13:23:00,EXIT,2654.561,2648.561,2660.561,2648.561,0.5,30.0,TP_HIT
22,2025-01-03 13:37:00,ENTRY,2648.277,,2654.277,2642.277,0.5,,ENTRY_SIGNAL
23,2025-01-03 14:53:00,ENTRY,2647.029,,2653.029,2641.029,0.5,,ENTRY_SIGNAL
22,2025-01-03 15:19:00,EXIT,2648.277,2642.277,2654.277,2642.277,0.5,30.0,TP_HIT
